date,booking_id,agency_id,agency_name,channel,gross_sales,net_sales,currency
2025-02-01,HR2025000601,AG001,Atlas Partners,Booking.com,121.90,110.93,USD
2025-02-01,HR2025000602,AG002,Beacon Agency,Expedia,113.19,103.00,USD
2025-02-01,HR2025000603,AG003,Cedar Travel,Agoda,100.48,91.44,USD
2025-02-01,HR2025000604,AG004,Drift Voyages,Hotelbeds,89.77,81.69,USD
2025-02-01,HR2025000605,AG005,Elm Holidays,WholesalerX,79.06,71.94,USD
2025-02-01,HR2025000606,DIRECT,Direct Channel,Direct,106.35,96.78,USD
2025-02-07,HR2025000701,AG001,Atlas Partners,Booking.com,122.27,111.27,USD
2025-02-07,HR2025000702,AG002,Beacon Agency,Expedia,113.56,103.34,USD
2025-02-07,HR2025000703,AG003,Cedar Travel,Agoda,100.85,91.77,USD
2025-02-07,HR2025000704,AG004,Drift Voyages,Hotelbeds,90.14,82.03,USD
2025-02-07,HR2025000705,AG005,Elm Holidays,WholesalerX,79.43,72.28,USD
2025-02-07,HR2025000706,DIRECT,Direct Channel,Direct,106.72,97.11,USD
2025-02-13,HR2025000801,AG001,Atlas Partners,Booking.com,122.64,111.60,USD
2025-02-13,HR2025000802,AG002,Beacon Agency,Expedia,113.93,103.68,USD
2025-02-13,HR2025000803,AG003,Cedar Travel,Agoda,101.22,92.11,USD
2025-02-13,HR2025000804,AG004,Drift Voyages,Hotelbeds,90.51,82.36,USD
2025-02-13,HR2025000805,AG005,Elm Holidays,WholesalerX,79.80,72.62,USD
2025-02-13,HR2025000806,DIRECT,Direct Channel,Direct,107.09,97.45,USD
2025-02-19,HR2025000901,AG001,Atlas Partners,Booking.com,123.16,112.08,USD
2025-02-19,HR2025000902,AG002,Beacon Agency,Expedia,114.44,104.14,USD
2025-02-19,HR2025000903,AG003,Cedar Travel,Agoda,101.71,92.56,USD
2025-02-19,HR2025000904,AG004,Drift Voyages,Hotelbeds,90.99,82.80,USD
2025-02-19,HR2025000905,AG005,Elm Holidays,WholesalerX,80.27,73.05,USD
2025-02-19,HR2025000906,DIRECT,Direct Channel,Direct,107.59,97.90,USD
2025-02-25,HR2025001001,AG001,Atlas Partners,Booking.com,123.38,112.28,USD
2025-02-25,HR2025001002,AG002,Beacon Agency,Expedia,114.67,104.35,USD
2025-02-25,HR2025001003,AG003,Cedar Travel,Agoda,101.96,92.78,USD
2025-02-25,HR2025001004,AG004,Drift Voyages,Hotelbeds,91.25,83.04,USD
2025-02-25,HR2025001005,AG005,Elm Holidays,WholesalerX,80.54,73.29,USD
2025-02-25,HR2025001006,DIRECT,Direct Channel,Direct,107.83,98.12,USD
2025-03-01,HR2025001101,AG001,Atlas Partners,Booking.com,122.85,111.79,USD
2025-03-01,HR2025001102,AG002,Beacon Agency,Expedia,114.14,103.87,USD
2025-03-01,HR2025001103,AG003,Cedar Travel,Agoda,101.43,92.30,USD
2025-03-01,HR2025001104,AG004,Drift Voyages,Hotelbeds,90.72,82.56,USD
2025-03-01,HR2025001105,AG005,Elm Holidays,WholesalerX,80.01,72.81,USD
2025-03-01,HR2025001106,DIRECT,Direct Channel,Direct,107.30,97.64,USD
2025-03-07,HR2025001201,AG001,Atlas Partners,Booking.com,123.22,112.13,USD
2025-03-07,HR2025001202,AG002,Beacon Agency,Expedia,114.51,104.20,USD
2025-03-07,HR2025001203,AG003,Cedar Travel,Agoda,101.80,92.64,USD
2025-03-07,HR2025001204,AG004,Drift Voyages,Hotelbeds,91.09,82.89,USD
2025-03-07,HR2025001205,AG005,Elm Holidays,WholesalerX,80.38,73.15,USD
2025-03-07,HR2025001206,DIRECT,Direct Channel,Direct,107.67,97.98,USD
2025-03-13,HR2025001301,AG001,Atlas Partners,Booking.com,113.64,103.41,USD
2025-03-13,HR2025001302,AG002,Beacon Agency,Expedia,105.63,96.12,USD
2025-03-13,HR2025001303,AG003,Cedar Travel,Agoda,93.94,85.49,USD
2025-03-13,HR2025001304,AG004,Drift Voyages,Hotelbeds,84.09,76.52,USD
2025-03-13,HR2025001305,AG005,Elm Holidays,WholesalerX,74.25,67.57,USD
2025-03-13,HR2025001306,DIRECT,Direct Channel,Direct,99.34,90.40,USD
2025-03-19,HR2025001401,AG001,Atlas Partners,Booking.com,133.91,121.86,USD
2025-03-19,HR2025001402,AG002,Beacon Agency,Expedia,124.50,113.29,USD
2025-03-19,HR2025001403,AG003,Cedar Travel,Agoda,110.77,100.80,USD
2025-03-19,HR2025001404,AG004,Drift Voyages,Hotelbeds,99.20,90.27,USD
2025-03-19,HR2025001405,AG005,Elm Holidays,WholesalerX,87.63,79.74,USD
2025-03-19,HR2025001406,DIRECT,Direct Channel,Direct,117.10,106.57,USD
2025-03-25,HR2025001501,AG001,Atlas Partners,Booking.com,124.33,113.14,USD
2025-03-25,HR2025001502,AG002,Beacon Agency,Expedia,115.62,105.21,USD
2025-03-25,HR2025001503,AG003,Cedar Travel,Agoda,102.91,93.65,USD
2025-03-25,HR2025001504,AG004,Drift Voyages,Hotelbeds,92.20,83.90,USD
2025-03-25,HR2025001505,AG005,Elm Holidays,WholesalerX,81.49,74.16,USD
2025-03-25,HR2025001506,DIRECT,Direct Channel,Direct,108.78,98.99,USD
2025-04-01,HR2025001601,AG001,Atlas Partners,Booking.com,123.80,112.66,USD
2025-04-01,HR2025001602,AG002,Beacon Agency,Expedia,115.09,104.73,USD
2025-04-01,HR2025001603,AG003,Cedar Travel,Agoda,102.38,93.17,USD
2025-04-01,HR2025001604,AG004,Drift Voyages,Hotelbeds,91.67,83.42,USD
2025-04-01,HR2025001605,AG005,Elm Holidays,WholesalerX,80.96,73.67,USD
2025-04-01,HR2025001606,DIRECT,Direct Channel,Direct,108.25,98.51,USD
2025-04-07,HR2025001701,AG001,Atlas Partners,Booking.com,124.17,113.00,USD
2025-04-07,HR2025001702,AG002,Beacon Agency,Expedia,115.46,105.07,USD
2025-04-07,HR2025001703,AG003,Cedar Travel,Agoda,102.75,93.50,USD
2025-04-07,HR2025001704,AG004,Drift Voyages,Hotelbeds,92.04,83.76,USD
2025-04-07,HR2025001705,AG005,Elm Holidays,WholesalerX,81.33,74.01,USD
2025-04-07,HR2025001706,DIRECT,Direct Channel,Direct,108.62,98.84,USD
2025-04-13,HR2025001801,AG001,Atlas Partners,Booking.com,124.54,113.33,USD
2025-04-13,HR2025001802,AG002,Beacon Agency,Expedia,115.83,105.41,USD
2025-04-13,HR2025001803,AG003,Cedar Travel,Agoda,103.12,93.84,USD
2025-04-13,HR2025001804,AG004,Drift Voyages,Hotelbeds,92.41,84.09,USD
2025-04-13,HR2025001805,AG005,Elm Holidays,WholesalerX,81.70,74.35,USD
2025-04-13,HR2025001806,DIRECT,Direct Channel,Direct,108.99,99.18,USD
2025-04-19,HR2025001901,AG001,Atlas Partners,Booking.com,124.91,113.67,USD
2025-04-19,HR2025001902,AG002,Beacon Agency,Expedia,116.20,105.74,USD
2025-04-19,HR2025001903,AG003,Cedar Travel,Agoda,103.49,94.18,USD
2025-04-19,HR2025001904,AG004,Drift Voyages,Hotelbeds,92.78,84.43,USD
2025-04-19,HR2025001905,AG005,Elm Holidays,WholesalerX,82.07,74.68,USD
2025-04-19,HR2025001906,DIRECT,Direct Channel,Direct,109.36,99.52,USD
2025-04-25,HR2025002001,AG001,Atlas Partners,Booking.com,125.28,114.01,USD
2025-04-25,HR2025002002,AG002,Beacon Agency,Expedia,116.57,106.08,USD
2025-04-25,HR2025002003,AG003,Cedar Travel,Agoda,103.86,94.51,USD
2025-04-25,HR2025002004,AG004,Drift Voyages,Hotelbeds,93.15,84.77,USD
2025-04-25,HR2025002005,AG005,Elm Holidays,WholesalerX,82.44,75.02,USD
2025-04-25,HR2025002006,DIRECT,Direct Channel,Direct,109.73,99.85,USD
2025-05-01,HR2025002101,AG001,Atlas Partners,Booking.com,124.75,113.52,USD
2025-05-01,HR2025002102,AG002,Beacon Agency,Expedia,116.04,105.60,USD
2025-05-01,HR2025002103,AG003,Cedar Travel,Agoda,103.33,94.03,USD
2025-05-01,HR2025002104,AG004,Drift Voyages,Hotelbeds,92.62,84.28,USD
2025-05-01,HR2025002105,AG005,Elm Holidays,WholesalerX,81.91,74.54,USD
2025-05-01,HR2025002106,DIRECT,Direct Channel,Direct,109.20,99.37,USD
2025-05-07,HR2025002201,AG001,Atlas Partners,Booking.com,125.12,113.86,USD
2025-05-07,HR2025002202,AG002,Beacon Agency,Expedia,116.41,105.93,USD
2025-05-07,HR2025002203,AG003,Cedar Travel,Agoda,103.70,94.37,USD
2025-05-07,HR2025002204,AG004,Drift Voyages,Hotelbeds,92.99,84.62,USD
2025-05-07,HR2025002205,AG005,Elm Holidays,WholesalerX,82.28,74.87,USD
2025-05-07,HR2025002206,DIRECT,Direct Channel,Direct,109.57,99.71,USD
2025-05-13,HR2025002301,AG001,Atlas Partners,Booking.com,125.49,114.20,USD
2025-05-13,HR2025002302,AG002,Beacon Agency,Expedia,116.78,106.27,USD
2025-05-13,HR2025002303,AG003,Cedar Travel,Agoda,104.07,94.70,USD
2025-05-13,HR2025002304,AG004,Drift Voyages,Hotelbeds,93.36,84.96,USD
2025-05-13,HR2025002305,AG005,Elm Holidays,WholesalerX,82.65,75.21,USD
2025-05-13,HR2025002306,DIRECT,Direct Channel,Direct,109.94,100.04,USD
2025-05-19,HR2025002401,AG001,Atlas Partners,Booking.com,125.86,114.53,USD
2025-05-19,HR2025002402,AG002,Beacon Agency,Expedia,117.15,106.61,USD
2025-05-19,HR2025002403,AG003,Cedar Travel,Agoda,104.44,95.04,USD
2025-05-19,HR2025002404,AG004,Drift Voyages,Hotelbeds,93.73,85.29,USD
2025-05-19,HR2025002405,AG005,Elm Holidays,WholesalerX,83.02,75.55,USD
2025-05-19,HR2025002406,DIRECT,Direct Channel,Direct,110.31,100.38,USD
2025-05-25,HR2025002501,AG001,Atlas Partners,Booking.com,127.62,116.13,USD
2025-05-25,HR2025002502,AG002,Beacon Agency,Expedia,118.81,108.12,USD
2025-05-25,HR2025002503,AG003,Cedar Travel,Agoda,105.96,96.42,USD
2025-05-25,HR2025002504,AG004,Drift Voyages,Hotelbeds,95.13,86.57,USD
2025-05-25,HR2025002505,AG005,Elm Holidays,WholesalerX,84.31,76.72,USD
2025-05-25,HR2025002506,DIRECT,Direct Channel,Direct,111.90,101.83,USD
2025-06-01,HR2025002601,AG001,Atlas Partners,Booking.com,125.70,114.39,USD
2025-06-01,HR2025002602,AG002,Beacon Agency,Expedia,116.99,106.46,USD
2025-06-01,HR2025002603,AG003,Cedar Travel,Agoda,104.28,94.89,USD
2025-06-01,HR2025002604,AG004,Drift Voyages,Hotelbeds,93.57,85.15,USD
2025-06-01,HR2025002605,AG005,Elm Holidays,WholesalerX,82.86,75.40,USD
2025-06-01,HR2025002606,DIRECT,Direct Channel,Direct,110.15,100.24,USD
2025-06-07,HR2025002701,AG001,Atlas Partners,Booking.com,126.07,114.72,USD
2025-06-07,HR2025002702,AG002,Beacon Agency,Expedia,117.36,106.80,USD
2025-06-07,HR2025002703,AG003,Cedar Travel,Agoda,104.65,95.23,USD
2025-06-07,HR2025002704,AG004,Drift Voyages,Hotelbeds,93.94,85.49,USD
2025-06-07,HR2025002705,AG005,Elm Holidays,WholesalerX,83.23,75.74,USD
2025-06-07,HR2025002706,DIRECT,Direct Channel,Direct,110.52,100.57,USD
2025-06-13,HR2025002801,AG001,Atlas Partners,Booking.com,126.44,115.06,USD
2025-06-13,HR2025002802,AG002,Beacon Agency,Expedia,117.73,107.13,USD
2025-06-13,HR2025002803,AG003,Cedar Travel,Agoda,105.02,95.57,USD
2025-06-13,HR2025002804,AG004,Drift Voyages,Hotelbeds,94.31,85.82,USD
2025-06-13,HR2025002805,AG005,Elm Holidays,WholesalerX,83.60,76.08,USD
2025-06-13,HR2025002806,DIRECT,Direct Channel,Direct,110.89,100.91,USD
2025-06-19,HR2025002901,AG001,Atlas Partners,Booking.com,126.81,115.40,USD
2025-06-19,HR2025002902,AG002,Beacon Agency,Expedia,118.10,107.47,USD
2025-06-19,HR2025002903,AG003,Cedar Travel,Agoda,105.39,95.90,USD
2025-06-19,HR2025002904,AG004,Drift Voyages,Hotelbeds,94.68,86.16,USD
2025-06-19,HR2025002905,AG005,Elm Holidays,WholesalerX,83.97,76.41,USD
2025-06-19,HR2025002906,DIRECT,Direct Channel,Direct,111.26,101.25,USD
2025-06-25,HR2025003001,AG001,Atlas Partners,Booking.com,127.18,115.73,USD
2025-06-25,HR2025003002,AG002,Beacon Agency,Expedia,118.47,107.81,USD
2025-06-25,HR2025003003,AG003,Cedar Travel,Agoda,105.76,96.24,USD
2025-06-25,HR2025003004,AG004,Drift Voyages,Hotelbeds,95.05,86.50,USD
2025-06-25,HR2025003005,AG005,Elm Holidays,WholesalerX,84.34,76.75,USD
2025-06-25,HR2025003006,DIRECT,Direct Channel,Direct,111.63,101.58,USD
