date,booking_id,agency_id,agency_name,channel,gross_sales,net_sales,currency
2026-05-01,HR2026002104,AG004,Drift Voyages,Hotelbeds,105.12,95.66,USD
2026-05-01,HR2026002105,AG005,Elm Holidays,WholesalerX,94.41,85.91,USD
2026-05-01,HR2026002106,DIRECT,Direct Channel,Direct,121.70,110.75,USD
2026-05-07,HR2026002201,AG001,Atlas Partners,Booking.com,137.62,125.23,USD
2026-05-07,HR2026002202,AG002,Beacon Agency,Expedia,128.91,117.31,USD
2026-05-07,HR2026002203,AG003,Cedar Travel,Agoda,116.20,105.74,USD
2026-05-07,HR2026002204,AG004,Drift Voyages,Hotelbeds,105.49,96.00,USD
2026-05-07,HR2026002205,AG005,Elm Holidays,WholesalerX,94.78,86.25,USD
2026-05-07,HR2026002206,DIRECT,Direct Channel,Direct,122.07,111.08,USD
2026-05-13,HR2026002301,AG001,Atlas Partners,Booking.com,137.99,125.57,USD
2026-05-13,HR2026002302,AG002,Beacon Agency,Expedia,129.28,117.64,USD
2026-05-13,HR2026002303,AG003,Cedar Travel,Agoda,116.57,106.08,USD
2026-05-13,HR2026002304,AG004,Drift Voyages,Hotelbeds,105.86,96.33,USD
2026-05-13,HR2026002305,AG005,Elm Holidays,WholesalerX,95.15,86.59,USD
2026-05-13,HR2026002306,DIRECT,Direct Channel,Direct,122.44,111.42,USD
2026-05-19,HR2026002401,AG001,Atlas Partners,Booking.com,138.36,125.91,USD
2026-05-19,HR2026002402,AG002,Beacon Agency,Expedia,129.65,117.98,USD
2026-05-19,HR2026002403,AG003,Cedar Travel,Agoda,116.94,106.41,USD
2026-05-19,HR2026002404,AG004,Drift Voyages,Hotelbeds,106.23,96.67,USD
2026-05-19,HR2026002405,AG005,Elm Holidays,WholesalerX,95.52,86.92,USD
2026-05-19,HR2026002406,DIRECT,Direct Channel,Direct,122.81,111.76,USD
2026-05-25,HR2026002501,AG001,Atlas Partners,Booking.com,138.73,126.24,USD
2026-05-25,HR2026002502,AG002,Beacon Agency,Expedia,130.02,118.32,USD
2026-05-25,HR2026002503,AG003,Cedar Travel,Agoda,117.31,106.75,USD
2026-05-25,HR2026002504,AG004,Drift Voyages,Hotelbeds,106.60,97.01,USD
2026-05-25,HR2026002505,AG005,Elm Holidays,WholesalerX,95.89,87.26,USD
2026-05-25,HR2026002506,DIRECT,Direct Channel,Direct,123.18,112.09,USD
2026-06-01,HR2026002601,AG001,Atlas Partners,Booking.com,138.20,125.76,USD
2026-06-01,HR2026002602,AG002,Beacon Agency,Expedia,129.49,117.84,USD
2026-06-01,HR2026002603,AG003,Cedar Travel,Agoda,116.78,106.27,USD
2026-06-01,HR2026002604,AG004,Drift Voyages,Hotelbeds,106.07,96.52,USD
2026-06-01,HR2026002605,AG005,Elm Holidays,WholesalerX,95.36,86.78,USD
2026-06-01,HR2026002606,DIRECT,Direct Channel,Direct,122.65,111.61,USD
2026-06-07,HR2026002701,AG001,Atlas Partners,Booking.com,138.57,126.10,USD
2026-06-07,HR2026002702,AG002,Beacon Agency,Expedia,129.86,118.17,USD
2026-06-07,HR2026002703,AG003,Cedar Travel,Agoda,117.15,106.61,USD
2026-06-07,HR2026002704,AG004,Drift Voyages,Hotelbeds,106.44,96.86,USD
2026-06-07,HR2026002705,AG005,Elm Holidays,WholesalerX,95.73,87.11,USD
2026-06-07,HR2026002706,DIRECT,Direct Channel,Direct,123.02,111.95,USD
2026-06-13,HR2026002801,AG001,Atlas Partners,Booking.com,138.94,126.44,USD
2026-06-13,HR2026002802,AG002,Beacon Agency,Expedia,130.23,118.51,USD
2026-06-13,HR2026002803,AG003,Cedar Travel,Agoda,117.52,106.94,USD
2026-06-13,HR2026002804,AG004,Drift Voyages,Hotelbeds,106.81,97.20,USD
2026-06-13,HR2026002805,AG005,Elm Holidays,WholesalerX,96.10,87.45,USD
2026-06-13,HR2026002806,DIRECT,Direct Channel,Direct,123.39,112.28,USD
2026-06-19,HR2026002901,AG001,Atlas Partners,Booking.com,138.14,125.71,USD
2026-06-19,HR2026002902,AG002,Beacon Agency,Expedia,129.50,117.84,USD
2026-06-19,HR2026002903,AG003,Cedar Travel,Agoda,116.90,106.38,USD
2026-06-19,HR2026002904,AG004,Drift Voyages,Hotelbeds,106.28,96.71,USD
2026-06-19,HR2026002905,AG005,Elm Holidays,WholesalerX,95.66,87.05,USD
2026-06-19,HR2026002906,DIRECT,Direct Channel,Direct,122.73,111.69,USD
2026-06-25,HR2026003001,AG001,Atlas Partners,Booking.com,139.68,127.11,USD
2026-06-25,HR2026003002,AG002,Beacon Agency,Expedia,130.97,119.18,USD
2026-06-25,HR2026003003,AG003,Cedar Travel,Agoda,118.26,107.62,USD
2026-06-25,HR2026003004,AG004,Drift Voyages,Hotelbeds,107.55,97.87,USD
2026-06-25,HR2026003005,AG005,Elm Holidays,WholesalerX,96.84,88.12,USD
2026-06-25,HR2026003006,DIRECT,Direct Channel,Direct,124.13,112.96,USD
