date,agency_id,agency_name,gross_sales,net_sales,currency,note
2025-02-13,AG005,Elm Holidays,79.80,72.62,USD,
2025-02-13,DIRECT,Direct Channel,107.09,97.45,USD,
2025-02-19,AG001,Atlas Partners,123.01,111.94,USD,
2025-02-19,AG002,Beacon Agency,114.30,104.01,USD,
2025-02-19,AG002,Beacon Agency,0.00,-25.00,USD,refund_adjustment
2025-02-19,AG003,Cedar Travel,101.59,92.45,USD,
2025-02-19,AG004,Drift Voyages,90.88,82.70,USD,
2025-02-19,AG005,Elm Holidays,80.17,72.95,USD,
2025-02-19,DIRECT,Direct Channel,107.46,97.79,USD,
2025-02-25,AG001,Atlas Partners,123.38,112.28,USD,
2025-02-25,AG002,Beacon Agency,114.67,104.35,USD,
2025-02-25,AG003,Cedar Travel,101.96,92.78,USD,
2025-02-25,AG004,Drift Voyages,91.25,83.04,USD,
2025-02-25,AG005,Elm Holidays,80.54,73.29,USD,
2025-02-25,DIRECT,Direct Channel,107.83,98.13,USD,
2025-03-01,AG001,Atlas Partners,122.85,111.79,USD,
2025-03-01,AG002,Beacon Agency,114.14,103.87,USD,
2025-03-01,AG003,Cedar Travel,101.43,92.30,USD,
2025-03-01,AG004,Drift Voyages,90.72,82.56,USD,
2025-03-01,AG005,Elm Holidays,80.01,72.81,USD,
2025-03-01,DIRECT,Direct Channel,107.30,97.64,USD,
2025-03-07,AG001,Atlas Partners,123.22,112.13,USD,
2025-03-07,AG002,Beacon Agency,114.51,104.20,USD,
2025-03-07,AG003,Cedar Travel,101.80,92.64,USD,
2025-03-07,AG004,Drift Voyages,91.09,82.89,USD,
2025-03-07,AG005,Elm Holidays,80.38,73.15,USD,
2025-03-07,DIRECT,Direct Channel,107.67,97.98,USD,
2025-03-13,AG001,Atlas Partners,123.59,112.47,USD,
2025-03-13,AG002,Beacon Agency,114.88,104.54,USD,
2025-03-13,AG003,Cedar Travel,102.17,92.97,USD,
2025-03-13,AG004,Drift Voyages,91.46,83.23,USD,
2025-03-13,AG005,Elm Holidays,80.75,73.48,USD,
2025-03-13,DIRECT,Direct Channel,108.04,98.32,USD,
2025-03-19,AG001,Atlas Partners,123.96,112.80,USD,
2025-03-19,AG002,Beacon Agency,115.25,104.88,USD,
2025-03-19,AG003,Cedar Travel,102.54,93.31,USD,
2025-03-19,AG004,Drift Voyages,91.83,83.57,USD,
2025-03-19,AG005,Elm Holidays,81.12,73.82,USD,
2025-03-19,DIRECT,Direct Channel,108.41,98.65,USD,
2025-03-25,AG001,Atlas Partners,124.33,113.14,USD,
2025-03-25,AG002,Beacon Agency,115.62,105.21,USD,
2025-03-25,AG003,Cedar Travel,102.91,93.65,USD,
2025-03-25,AG004,Drift Voyages,92.20,83.90,USD,
2025-03-25,AG005,Elm Holidays,81.49,74.16,USD,
2025-03-25,DIRECT,Direct Channel,108.78,98.99,USD,
2025-04-01,AG001,Atlas Partners,123.80,112.66,USD,
2025-04-01,AG002,Beacon Agency,115.09,104.73,USD,
2025-04-01,AG003,Cedar Travel,102.38,93.17,USD,
2025-04-01,AG004,Drift Voyages,91.67,83.42,USD,
2025-04-01,AG005,Elm Holidays,80.96,73.67,USD,
2025-04-01,DIRECT,Direct Channel,108.25,98.51,USD,
2025-04-07,AG001,Atlas Partners,124.17,112.99,USD,
2025-04-07,AG002,Beacon Agency,115.46,105.07,USD,
2025-04-07,AG003,Cedar Travel,102.75,93.50,USD,
2025-04-07,AG004,Drift Voyages,92.04,83.76,USD,
2025-04-07,AG005,Elm Holidays,81.33,74.01,USD,
2025-04-07,DIRECT,Direct Channel,108.62,98.84,USD,
2025-04-13,AG001,Atlas Partners,124.54,113.33,USD,
2025-04-13,AG002,Beacon Agency,115.83,105.41,USD,
2025-04-13,AG003,Cedar Travel,103.12,93.84,USD,
2025-04-13,AG004,Drift Voyages,92.41,84.09,USD,
2025-04-13,AG005,Elm Holidays,81.70,74.35,USD,
2025-04-13,DIRECT,Direct Channel,108.99,99.18,USD,
2025-04-19,AG001,Atlas Partners,124.91,113.67,USD,
2025-04-19,AG002,Beacon Agency,116.20,105.74,USD,
2025-04-19,AG003,Cedar Travel,103.49,94.18,USD,
2025-04-19,AG004,Drift Voyages,92.78,84.43,USD,
2025-04-19,AG005,Elm Holidays,82.07,74.68,USD,
2025-04-19,DIRECT,Direct Channel,109.36,99.52,USD,
2025-04-25,AG001,Atlas Partners,125.28,114.00,USD,
2025-04-25,AG002,Beacon Agency,116.57,106.08,USD,
2025-04-25,AG003,Cedar Travel,103.86,94.51,USD,
2025-04-25,AG004,Drift Voyages,93.15,84.77,USD,
2025-04-25,AG005,Elm Holidays,82.44,75.02,USD,
2025-04-25,DIRECT,Direct Channel,109.73,99.85,USD,
2025-05-01,AG001,Atlas Partners,124.75,113.52,USD,
2025-05-01,AG002,Beacon Agency,116.04,105.60,USD,
2025-05-01,AG003,Cedar Travel,103.33,94.03,USD,
2025-05-01,AG004,Drift Voyages,92.62,84.28,USD,
2025-05-01,AG005,Elm Holidays,81.91,74.54,USD,
2025-05-01,DIRECT,Direct Channel,109.20,99.37,USD,
2025-05-07,AG001,Atlas Partners,125.12,113.86,USD,
2025-05-07,AG002,Beacon Agency,116.41,105.93,USD,
2025-05-07,AG003,Cedar Travel,103.70,94.37,USD,
2025-05-07,AG004,Drift Voyages,92.99,84.62,USD,
2025-05-07,AG005,Elm Holidays,82.28,74.87,USD,
2025-05-07,DIRECT,Direct Channel,109.57,99.71,USD,
2025-05-07,DIRECT,Direct Channel,0.00,-41.00,USD,cancellation_adjustment
2025-05-13,AG001,Atlas Partners,125.49,114.20,USD,
2025-05-13,AG002,Beacon Agency,116.78,106.27,USD,
2025-05-13,AG003,Cedar Travel,104.07,94.70,USD,
2025-05-13,AG004,Drift Voyages,93.36,84.96,USD,
2025-05-13,AG005,Elm Holidays,82.65,75.21,USD,
2025-05-13,DIRECT,Direct Channel,109.94,100.05,USD,
2025-05-19,AG001,Atlas Partners,125.86,114.53,USD,
2025-05-19,AG002,Beacon Agency,117.15,106.61,USD,
2025-05-19,AG003,Cedar Travel,104.44,95.04,USD,
2025-05-19,AG004,Drift Voyages,93.73,85.29,USD,
2025-05-19,AG005,Elm Holidays,83.02,75.55,USD,
2025-05-19,DIRECT,Direct Channel,110.31,100.38,USD,
2025-05-25,AG001,Atlas Partners,126.23,114.87,USD,
2025-05-25,AG002,Beacon Agency,117.52,106.94,USD,
2025-05-25,AG003,Cedar Travel,104.81,95.38,USD,
2025-05-25,AG004,Drift Voyages,94.10,85.63,USD,
2025-05-25,AG005,Elm Holidays,83.39,75.88,USD,
2025-05-25,DIRECT,Direct Channel,110.68,100.72,USD,
2025-06-01,AG001,Atlas Partners,125.70,114.39,USD,
2025-06-01,AG002,Beacon Agency,116.99,106.46,USD,
2025-06-01,AG003,Cedar Travel,104.28,94.89,USD,
2025-06-01,AG004,Drift Voyages,93.57,85.15,USD,
2025-06-01,AG005,Elm Holidays,82.86,75.40,USD,
2025-06-01,DIRECT,Direct Channel,110.15,100.24,USD,
2025-06-07,AG001,Atlas Partners,126.07,114.72,USD,
2025-06-07,AG002,Beacon Agency,117.36,106.80,USD,
2025-06-07,AG003,Cedar Travel,104.65,95.23,USD,
2025-06-07,AG004,Drift Voyages,93.94,85.49,USD,
2025-06-07,AG005,Elm Holidays,83.23,75.74,USD,
2025-06-07,DIRECT,Direct Channel,110.52,100.57,USD,
2025-06-13,AG001,Atlas Partners,126.44,115.06,USD,
2025-06-13,AG002,Beacon Agency,117.73,107.13,USD,
2025-06-13,AG003,Cedar Travel,105.02,95.57,USD,
2025-06-13,AG004,Drift Voyages,94.31,85.82,USD,
2025-06-13,AG005,Elm Holidays,83.60,76.08,USD,
2025-06-13,DIRECT,Direct Channel,110.89,100.91,USD,
2025-06-19,AG001,Atlas Partners,126.81,115.40,USD,
2025-06-19,AG002,Beacon Agency,118.10,107.47,USD,
2025-06-19,AG003,Cedar Travel,105.39,95.90,USD,
2025-06-19,AG004,Drift Voyages,94.68,86.16,USD,
2025-06-19,AG005,Elm Holidays,83.97,76.41,USD,
2025-06-19,DIRECT,Direct Channel,111.26,101.25,USD,
2025-06-25,AG001,Atlas Partners,127.18,115.73,USD,
2025-06-25,AG002,Beacon Agency,118.47,107.81,USD,
2025-06-25,AG003,Cedar Travel,105.76,96.24,USD,
2025-06-25,AG004,Drift Voyages,95.05,86.50,USD,
2025-06-25,AG005,Elm Holidays,84.34,76.75,USD,
2025-06-25,DIRECT,Direct Channel,111.63,101.58,USD,
